City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Saldanha,ZA,71.65,-33.0117,17.9442,clear sky,Blue Bay Lodge
3,Alofi,NU,75.09,-19.0595,-169.9187,scattered clouds,Taloa Heights
4,Cape Town,ZA,71.28,-33.9258,18.4232,clear sky,"Radisson Blu Hotel Waterfront, Cape Town"
10,Rikitea,PF,69.6,-23.1203,-134.9692,overcast clouds,People ThankYou
15,Luganville,VU,77.23,-15.5333,167.1667,clear sky,The Espiritu Hotel
16,Hilo,US,72.25,19.7297,-155.09,broken clouds,Hilo Hawaiian Hotel
19,Puerto Ayora,EC,73.36,-0.7393,-90.3518,overcast clouds,Finch Bay Galapagos Hotel
22,Jamestown,US,60.03,42.097,-79.2353,overcast clouds,Hampton Inn & Suites Jamestown
24,Atuona,PF,76.42,-9.8,-139.0333,few clouds,Villa Enata
27,Hermanus,ZA,63.81,-34.4187,19.2345,clear sky,Misty Waves Boutique Hotel
29,Kieta,PG,78.53,-6.2167,155.6333,scattered clouds,Uruna Bay Retreat
30,Faanui,PF,78.64,-16.4833,-151.75,broken clouds,Bora-Bora Pearl Beach Resort & Spa
31,Tanabe,JP,62.8,33.7333,135.3667,light rain,美吉屋旅館
35,San Quintin,MX,70.81,30.4833,-115.95,clear sky,Don Eddie's Sport Fishing Center
36,Bilma,NE,79.2,18.6853,12.9164,clear sky,Expeditions Ténére voyages
38,Port Elizabeth,ZA,61.11,-33.918,25.5701,light rain,39 On Nile Guest House
42,Margate,GB,60.91,51.3813,1.3862,overcast clouds,Premier Inn Margate hotel
43,Isangel,VU,74.57,-19.55,169.2667,few clouds,Tanna Lodge
45,Vaini,TO,75.36,-21.2,-175.2,broken clouds,Keleti Beach Resort
46,Albany,US,60.73,42.6001,-73.9662,overcast clouds,
47,Pisco,PE,63.01,-13.7,-76.2167,overcast clouds,Hotel San Isidro Oficial
49,Kifri,IQ,76.03,34.6959,44.9661,broken clouds,Hama’s home
52,Palamos,ES,72.28,41.8484,3.1291,broken clouds,Hotel Rosamar
53,Pangkalanbuun,ID,75.31,-2.6833,111.6167,overcast clouds,Grand Kecubung Hotel
56,Beaumont,US,75.18,30.0861,-94.1019,clear sky,Super 8 by Wyndham Beaumont I-10 / College Street
58,Grand Gaube,MU,74.37,-20.0064,57.6608,few clouds,Veranda Paul et Virginie Hotel & Spa
59,Anantapur,IN,73.4,14.6833,77.6,overcast clouds,Hotel Gpr grand
60,Avarua,CK,75.25,-21.2078,-159.775,overcast clouds,Paradise Inn
62,Acolla,PE,65.46,-11.7319,-75.5463,broken clouds,Turismo Cultural El Chasqui
64,Gorontalo,ID,75.79,0.5412,123.0595,broken clouds,Maqna Hotel by Prasanthi
68,Ponta Do Sol,PT,75.7,32.6667,-17.1,overcast clouds,Hotel do Campo
69,Carnarvon,AU,65.39,-24.8667,113.6333,clear sky,Hospitality Carnarvon
73,Andrews,US,65.07,32.3187,-102.5457,clear sky,Days Inn by Wyndham Andrews Texas
74,Itoman,JP,75.22,26.1247,127.6694,light rain,Southern Beach Hotel & Resort Okinawa
75,Mahebourg,MU,74.25,-20.4081,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
82,Isla Vista,US,79.3,34.4133,-119.861,overcast clouds,Best Western Plus South Coast Inn
83,Kapaa,US,77.32,22.0752,-159.319,broken clouds,Sheraton Kauai Coconut Beach Resort
86,Port Alfred,ZA,60.19,-33.5906,26.891,overcast clouds,The Halyards Hotel & Spa
89,Saint-Philippe,RE,74.79,-21.3585,55.7679,scattered clouds,Le four à pain
91,Tateyama,JP,61.75,34.9833,139.8667,overcast clouds,Tateyama Seaside Hotel
92,Paragould,US,65.08,36.0584,-90.4973,broken clouds,Linwood Motel
94,Bethel,US,64.44,41.3712,-73.414,clear sky,Courtyard by Marriott Danbury
97,Soe,ID,68.18,-9.8607,124.284,overcast clouds,Dena Hotel
98,Nizwa,OM,79.23,22.9333,57.5333,few clouds,Orient Apartments
99,San Cristobal,VE,77.18,7.7669,-72.225,scattered clouds,Pirineos
108,Sambava,MG,72.66,-14.2667,50.1667,light rain,Melrose
111,Mitsamiouli,KM,77.58,-11.3847,43.2844,few clouds,Foyer ADM
115,Angoram,PG,74.41,-4.0625,144.0661,few clouds,
118,Porto Belo,BR,73.35,-27.1578,-48.5531,broken clouds,Costa Verde Beach Hotel
119,Victoria,HK,78.33,22.2855,114.1577,overcast clouds,Mini Central
122,Honiara,SB,77.43,-9.4333,159.95,clear sky,Heritage Park Hotel
125,Dingle,PH,76.14,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
128,Gat,IL,74.08,31.61,34.7642,clear sky,OlusHome
131,Georgetown,MY,79.9,5.4112,100.3354,scattered clouds,Cititel Penang
136,Castro,BR,65.05,-24.7911,-50.0119,overcast clouds,CHACARA BAILLY
143,Colotlan,MX,70.92,22.1,-103.2667,clear sky,Hotel Hacienda de los Galvez
148,Bintulu,MY,77.41,3.1667,113.0333,thunderstorm with rain,900 Boutique INN
149,Airai,TL,62.26,-8.9266,125.4092,overcast clouds,
159,Malur,IN,71.38,13.0075,77.9378,overcast clouds,RG Hotels and Resort
165,Nantucket,US,66.31,41.2835,-70.0995,scattered clouds,Jared Coffin House
169,Poya,NC,72.54,-21.35,165.15,scattered clouds,
173,Artigas,UY,65.43,-30.4,-56.4667,broken clouds,Hotel Casino San Eugenio del Cuareim
176,Boyuibe,BO,60.85,-20.4167,-63.2833,overcast clouds,Residencial Eluzai
177,Neiafu,TO,74.08,-18.65,-173.9833,overcast clouds,Mystic Sands Beachfront Accommodation
179,Greenville,US,72.12,35.6127,-77.3663,overcast clouds,"Holiday Inn Express Greenville, an IHG Hotel"
180,Kamariotissa,GR,68.27,40.4833,25.4667,clear sky,Niki Beach
181,Pontal Do Parana,BR,76.98,-25.6533,-48.5128,moderate rain,Eco Hostel Residencial Bananeiras
183,Naze,JP,70.72,28.3667,129.4833,light rain,Shishime Hotel
184,Zarate,AR,63.14,-34.0981,-59.0286,clear sky,Departamento céntrico 2 ambientes 45 mt2 en Zárate
185,Constitucion,CL,71.69,-35.3333,-72.4167,clear sky,Hotel Boutique Las Azucenas
191,Hervey Bay,AU,75.52,-25.2986,152.8535,broken clouds,Shelly Bay Resort
195,Kudahuvadhoo,MV,79.36,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
199,Santa Helena De Goias,BR,79.32,-17.8136,-50.5969,broken clouds,Castro Castle Hotel
202,Le Port,RE,75.2,-20.9373,55.2919,light rain,KORBEY D'OR OUEST
205,Bambous Virieux,MU,74.21,-20.3428,57.7575,scattered clouds,Casa Tia Villa
210,Viedma,AR,64.51,-40.8135,-62.9967,clear sky,Hotel Cristal
212,Wahiawa,US,73.87,21.5028,-158.0236,few clouds,The Inn At Schofield
214,Sampit,ID,75.58,-2.5333,112.95,overcast clouds,Aquarius Boutique Hotel Sampit
215,Vao,NC,72.48,-22.6667,167.4833,few clouds,Hotel Kou-Bugny
218,Boende,CD,67.62,-0.2167,20.8667,overcast clouds,
220,Kailua,US,77.14,21.4022,-157.7394,light rain,Sheffield House Bed & Breakfast
221,Sibu,MY,77.31,2.3,111.8167,moderate rain,RH HOTEL (4 Star)
223,Muros,ES,63.68,42.7762,-9.0603,clear sky,Apartment Av. Castelao
224,Meulaboh,ID,76.95,4.1363,96.1285,overcast clouds,Kost Pria
229,Nishihara,JP,74.48,26.1842,127.7558,drizzle,Minshuku Agaihama
230,Velagici,BA,64.85,44.5572,16.7317,clear sky,Sobe LANE
233,Awjilah,LY,69.98,29.1081,21.2869,clear sky,المنزل
234,Lasa,IT,63.48,46.6166,10.7002,broken clouds,Pension Feldgärtenhof
236,Ilabaya,PE,76.44,-17.4208,-70.5133,clear sky,
239,Souillac,MU,73.78,-20.5167,57.5167,scattered clouds,Shanti Maurice Resort & Spa
241,Fos-Sur-Mer,FR,70.36,43.4377,4.9446,overcast clouds,Ariane Hotel
245,Fare,PF,78.6,-16.7,-151.0167,overcast clouds,Maitai Lapita Village Huahine
249,Kahului,US,78.84,20.8947,-156.47,clear sky,Maui Seaside Hotel
251,Columbia,US,68.16,34.0007,-81.0348,overcast clouds,Hampton Inn Columbia-Downtown Historic District
256,Birjand,IR,63.07,32.8663,59.2211,clear sky,Birjand Tourist Hotel
258,Awbari,LY,71.28,26.5921,12.7805,clear sky,استراحة الشارب العائلي
260,Sterling,US,64.4,39.0062,-77.4286,broken clouds,Hampton Inn & Suites Washington-Dulles International Airport
261,Ravar,IR,70.23,31.2656,56.8055,broken clouds,computertik
262,Payakumbuh,ID,70.18,-0.2202,100.6308,overcast clouds,Dalimo Homestay
263,Praia Da Vitoria,PT,67.75,38.7333,-27.0667,scattered clouds,Hotel Branco I
264,Balabac,PH,77.85,7.9868,117.0645,moderate rain,Batalla’s Lodging House
268,Ibra,OM,76.05,22.6906,58.5334,scattered clouds,مزرعة راحة النفوس المنزفة
270,Bani Walid,LY,70.41,31.7566,13.9942,few clouds,مركزGLC للطلاء
273,Lardos,GR,69.94,36.0942,28.0157,clear sky,Lindos Princess Beach Hotel
282,Trelew,AR,67.06,-43.249,-65.3051,clear sky,Hotel Touring Club
284,Katsuura,JP,61.34,35.1333,140.3,overcast clouds,Katsuura Hotel Mikazuki
289,Inongo,CD,72.72,-1.95,18.2667,light rain,Hotel Du Lac
295,Safaga,EG,77.94,26.7292,33.9365,clear sky,Lamar Resort Abu Soma
296,Teknaf,BD,77.18,20.8624,92.3058,clear sky,Forestry Guesthouse
