City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Saldanha,-33.0117,17.9442,71.65,clear sky,69,0,21.14,ZA
1,Chuy,-33.6971,-53.4616,58.26,broken clouds,47,61,19.04,UY
2,Esperance,-33.8667,121.9,58.32,overcast clouds,79,100,23.35,AU
3,Alofi,-19.0595,-169.9187,75.09,scattered clouds,94,40,4.61,NU
4,Cape Town,-33.9258,18.4232,71.28,clear sky,49,0,21.85,ZA
5,Tuktoyaktuk,69.4541,-133.0374,12.2,light snow,79,100,9.22,CA
6,Hofn,64.2539,-15.2082,48.22,mist,93,100,13.8,IS
7,Cabo San Lucas,22.8909,-109.9124,82.06,clear sky,57,0,3.44,MX
8,Ushuaia,-54.8,-68.3,47.86,light intensity drizzle,71,75,18.41,AR
9,Sorland,67.667,12.6934,48.06,overcast clouds,97,100,11.97,NO
10,Rikitea,-23.1203,-134.9692,69.6,overcast clouds,79,100,8.59,PF
11,Dikson,73.5069,80.5464,29.35,snow,97,100,25.26,RU
12,Armizonskoye,55.9461,67.6736,32.7,overcast clouds,97,100,16.53,RU
13,Bluff,-46.6,168.3333,48.88,scattered clouds,89,41,6.98,NZ
14,Kodiak,57.79,-152.4072,29.71,clear sky,43,0,32.21,US
15,Luganville,-15.5333,167.1667,77.23,clear sky,85,8,1.74,VU
16,Hilo,19.7297,-155.09,72.25,broken clouds,86,75,8.05,US
17,Yellowknife,62.456,-114.3525,12.72,light snow,85,100,10.36,CA
18,Mar Del Plata,-38.0023,-57.5575,55.94,broken clouds,63,75,13.0,AR
19,Puerto Ayora,-0.7393,-90.3518,73.36,overcast clouds,91,91,8.01,EC
20,Ilulissat,69.2167,-51.1,21.22,few clouds,73,20,5.75,GL
21,Kaitangata,-46.2817,169.8464,46.29,few clouds,96,21,3.78,NZ
22,Jamestown,42.097,-79.2353,60.03,overcast clouds,90,100,9.22,US
23,Maningrida,-12.0667,134.2667,81.5,scattered clouds,76,43,6.44,AU
24,Atuona,-9.8,-139.0333,76.42,few clouds,77,14,15.35,PF
25,Fortuna,40.5982,-124.1573,51.93,overcast clouds,93,100,5.75,US
26,Upernavik,72.7868,-56.1549,14.88,scattered clouds,71,32,10.04,GL
27,Hermanus,-34.4187,19.2345,63.81,clear sky,62,0,23.31,ZA
28,Qaanaaq,77.484,-69.3632,1.36,few clouds,64,24,7.43,GL
29,Kieta,-6.2167,155.6333,78.53,scattered clouds,84,33,1.92,PG
30,Faanui,-16.4833,-151.75,78.64,broken clouds,76,52,7.81,PF
31,Tanabe,33.7333,135.3667,62.8,light rain,93,100,7.02,JP
32,Channel-Port Aux Basques,47.5702,-59.1367,52.18,overcast clouds,80,91,23.87,CA
33,San Patricio,28.017,-97.5169,80.47,overcast clouds,45,85,9.51,US
34,Punta Arenas,-53.15,-70.9167,50.11,light rain,57,75,29.93,CL
35,San Quintin,30.4833,-115.95,70.81,clear sky,54,10,4.14,MX
36,Bilma,18.6853,12.9164,79.2,clear sky,16,0,6.2,NE
37,Busselton,-33.65,115.3333,52.52,few clouds,77,11,7.49,AU
38,Port Elizabeth,-33.918,25.5701,61.11,light rain,88,75,8.05,ZA
39,Nikolskoye,59.7035,30.7861,33.78,overcast clouds,82,95,4.07,RU
40,Port Blair,11.6667,92.75,80.64,mist,78,40,3.44,IN
41,New Norfolk,-42.7826,147.0587,49.5,overcast clouds,61,100,3.0,AU
42,Margate,51.3813,1.3862,60.91,overcast clouds,86,85,5.01,GB
43,Isangel,-19.55,169.2667,74.57,few clouds,88,13,8.48,VU
44,Bakchar,57.0186,82.0711,23.59,few clouds,72,14,3.06,RU
45,Vaini,-21.2,-175.2,75.36,broken clouds,94,75,9.22,TO
46,Albany,42.6001,-73.9662,60.73,overcast clouds,58,91,4.0,US
47,Pisco,-13.7,-76.2167,63.01,overcast clouds,82,100,8.05,PE
48,Lishui,28.4604,119.9103,58.21,light rain,94,99,4.14,CN
49,Kifri,34.6959,44.9661,76.03,broken clouds,35,57,10.36,IQ
50,Alice Springs,-23.7,133.8833,58.55,clear sky,29,1,12.66,AU
51,Ous,60.9058,61.5186,31.93,overcast clouds,97,100,6.02,RU
52,Palamos,41.8484,3.1291,72.28,broken clouds,59,66,13.31,ES
53,Pangkalanbuun,-2.6833,111.6167,75.31,overcast clouds,93,100,0.63,ID
54,Kodinsk,58.6881,99.1844,22.75,overcast clouds,68,85,2.46,RU
55,Tasiilaq,65.6145,-37.6368,35.76,light rain,93,100,15.05,GL
56,Beaumont,30.0861,-94.1019,75.18,clear sky,57,0,4.61,US
57,Komsomolskiy,40.4272,71.7189,48.92,few clouds,87,24,4.61,UZ
58,Grand Gaube,-20.0064,57.6608,74.37,few clouds,73,12,5.01,MU
59,Anantapur,14.6833,77.6,73.4,overcast clouds,64,96,5.44,IN
60,Avarua,-21.2078,-159.775,75.25,overcast clouds,83,100,12.66,CK
61,Torbay,47.6666,-52.7314,58.75,few clouds,68,20,21.85,CA
62,Acolla,-11.7319,-75.5463,65.46,broken clouds,31,57,6.24,PE
63,Tiksi,71.6872,128.8694,6.04,overcast clouds,95,99,7.34,RU
64,Gorontalo,0.5412,123.0595,75.79,broken clouds,95,68,1.39,ID
65,Nemuro,43.3236,145.575,48.13,clear sky,69,10,4.72,JP
66,Butaritari,3.0707,172.7902,80.11,overcast clouds,73,94,8.28,KI
67,Nerchinskiy Zavod,51.3088,119.61,23.68,overcast clouds,80,100,15.52,RU
68,Ponta Do Sol,32.6667,-17.1,75.7,overcast clouds,83,96,1.92,PT
69,Carnarvon,-24.8667,113.6333,65.39,clear sky,54,0,23.94,AU
70,Nuuk,64.1835,-51.7216,30.81,light snow,93,75,4.61,GL
71,Bay Roberts,47.5999,-53.2648,59.5,few clouds,66,23,10.0,CA
72,Pevek,69.7008,170.3133,6.49,light snow,95,100,4.97,RU
73,Andrews,32.3187,-102.5457,65.07,clear sky,53,0,8.05,US
74,Itoman,26.1247,127.6694,75.22,light rain,88,100,19.57,JP
75,Mahebourg,-20.4081,57.7,74.25,scattered clouds,78,40,8.05,MU
