City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kashi,CN,2022-10-26 00:09:22,39.4547,75.9797,49.41,33,100,3.0
1,Hithadhoo,MV,2022-10-26 00:09:22,-0.6,73.0833,82.44,72,32,11.61
2,Flin Flon,CA,2022-10-26 00:07:55,54.7682,-101.865,27.5,92,100,5.77
3,Mandal,IN,2022-10-26 00:09:22,25.45,74.5667,69.58,36,0,5.14
4,Honningsvag,NO,2022-10-26 00:09:23,70.9821,25.9704,33.55,80,40,14.97
5,Mar Del Plata,AR,2022-10-26 00:08:17,-38.0023,-57.5575,67.08,85,100,14.0
6,Beringovskiy,RU,2022-10-26 00:09:23,63.05,179.3167,21.79,73,85,9.13
7,Husavik,IS,2022-10-26 00:09:23,66.0449,-17.3389,36.28,92,100,7.45
8,La Ronge,CA,2022-10-26 00:09:24,55.1001,-105.2842,30.4,67,99,0.51
9,Santa Cruz,BO,2022-10-26 00:06:46,-17.8,-63.1667,81.86,69,20,5.75
10,Acari,PE,2022-10-26 00:09:24,-15.4311,-74.6158,66.13,73,9,5.28
11,Victoria,HK,2022-10-26 00:07:42,22.2855,114.1577,75.38,66,96,11.99
12,Olafsvik,IS,2022-10-26 00:09:25,64.8945,-23.7142,42.08,82,100,21.52
13,Lieksa,FI,2022-10-26 00:09:25,63.3167,30.0167,32.7,90,99,9.66
14,Yellowknife,CA,2022-10-26 00:09:25,62.456,-114.3525,23.56,79,80,11.01
15,Nadym,RU,2022-10-26 00:09:25,65.5333,72.5167,22.84,96,92,8.12
16,Pisco,PE,2022-10-26 00:09:26,-13.7,-76.2167,60.85,82,0,18.41
17,Grindavik,IS,2022-10-26 00:09:26,63.8424,-22.4338,45.07,81,75,17.27
18,Hamilton,US,2022-10-26 00:06:34,39.1834,-84.5333,73.8,57,20,3.44
19,Punta Arenas,CL,2022-10-26 00:09:26,-53.15,-70.9167,48.31,66,100,11.5
20,Rikitea,PF,2022-10-26 00:09:27,-23.1203,-134.9692,73.42,74,62,16.28
21,Ponta Do Sol,PT,2022-10-26 00:09:27,32.6667,-17.1,72.23,91,53,5.86
22,Touros,BR,2022-10-26 00:09:27,-5.1989,-35.4608,77.9,76,41,14.23
23,Peterhead,GB,2022-10-26 00:09:28,57.5058,-1.7981,54.0,89,100,15.59
24,Hermanus,ZA,2022-10-26 00:09:28,-34.4187,19.2345,59.81,77,100,12.82
25,Kondoa,TZ,2022-10-26 00:09:28,-4.9,35.7833,59.38,89,15,5.23
26,Busselton,AU,2022-10-26 00:09:28,-33.65,115.3333,57.24,79,82,8.77
